project;phase;type;question;answer
synapse-l4;Optimization Pass — Hybrid Extraction Fast Path;Pattern;Why is the deterministic path tried first rather than the LLM?;EventHorizon is a typed TypeScript system — its events often already carry structured fields. Running the LLM on structured payloads wastes quota, adds latency, and introduces unnecessary probabilistic uncertainty. The LLM is only needed for genuinely unstructured text. Deterministic first, probabilistic as fallback is the correct cost ordering.
synapse-l4;Optimization Pass — Hybrid Extraction Fast Path;Anti-Pattern;What is the compounding failure mode of `instructor_max_retries=3` under high telemetry volume?;Each call to `extract()` on an unstructured payload can make up to `1 + max_retries` LLM API calls — 4 at the default. If the model consistently struggles with a payload shape, every event multiplies token consumption by 4. Combined with a high-frequency WebSocket stream, this exhausts quota orders of magnitude faster than single-call-per-event reasoning would suggest.
synapse-l4;Optimization Pass — Hybrid Extraction Fast Path;Challenge;What payload would pass `KeyError` protection but fail without `ValidationError` protection?;`{"status": "unknown", "metric_value": 1.0, "anomaly_score": 0.5}` — all three keys are present (no `KeyError`), but `"unknown"` is not a valid `Literal["nominal", "degraded", "critical"]`, so Pydantic raises `ValidationError`. Without the `ValidationError` catch, `_try_direct_extraction` would propagate a crash instead of returning `None` and falling through to the LLM.
synapse-l4;ADR-0016 Migration — Redis Streams Delivery;Pattern;What delivery guarantee does HTTP POST provide, and how does Redis Streams improve on it?;HTTP POST is at-most-once by default — if Sentinel-L7 is down, the message is lost. Redis Streams with consumer groups provides at-least-once: the message lives in the stream until a consumer explicitly ACKs it. If a worker crashes before ACKing, `XCLAIM` recovery reassigns the message to another worker.
synapse-l4;ADR-0016 Migration — Redis Streams Delivery;Pattern;Why is XADD non-blocking even under high Sentinel-L7 load?;XADD writes to the stream (an in-memory Redis data structure) and returns immediately. Sentinel-L7's processing speed is irrelevant to the producer — the stream acts as an elastic buffer. The producer and consumer are temporally decoupled.
synapse-l4;ADR-0016 Migration — Redis Streams Delivery;Pattern;Why not reuse Sentinel-L7's existing `transactions` stream?;`transactions` has its own consumer group, schema assumptions, and processing logic. Injecting Axioms there would require Sentinel-L7's transaction consumer to branch on message type — coupling two unrelated domains. A dedicated `synapse:axioms` stream gives each domain a clean consumer pipeline.
synapse-l4;ADR-0016 Migration — Redis Streams Delivery;Anti-Pattern;Name the failure mode that HTTP coupling introduces that Redis Streams eliminates.;Sentinel-L7 deploys a new version and restarts mid-stream. With HTTP: the in-flight emit fails with `ConnectionRefused`; Synapse-L4 raises `EmitError`; the Axiom is lost (no retry budget in Phase 4). With Redis Streams: XADD succeeds before the restart; the Axiom sits in the stream; Sentinel-L7 reads it after restart. The producer is oblivious to the consumer's lifecycle.
synapse-l4;ADR-0016 Migration — Redis Streams Delivery;Decision;Why catch `Exception` broadly in `post_axiom` instead of specific Redis exception types?;`redis.asyncio` can raise `ConnectionError`, `TimeoutError`, `ResponseError`, and others depending on the failure mode. Catching each type explicitly creates a brittle allowlist — a new Redis exception type would silently propagate uncaught. Broad catch + typed re-raise gives the caller a stable contract while retaining the original for debugging via `__cause__`.
synapse-l4;Phase 7 — Logfire Observation Layer;Pattern;What does "additive observability" mean in practice for this pipeline?;Each `logfire.span()` call wraps existing code without modifying it. If Logfire's SDK raises an unexpected error internally, it is caught by Logfire itself — it does not propagate to the pipeline. Observability is a side effect of the pipeline, not a dependency of it.
synapse-l4;Phase 7 — Logfire Observation Layer;Pattern;Why is verifying span attribute structure left to the Logfire UI rather than automated tests?;Span structure assertions would couple tests to Logfire's internal representation. If Logfire changes how attributes are stored or named, tests would break for non-functional reasons. What matters is that the pipeline behaves correctly — span content is an operational concern verified manually.
